('SNG16-腾讯音乐系统测试工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SNG16-腾讯音乐专项测试开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('WXG08-113 大数据平台开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('24491-移动客户端开发（深圳）', '技术类', '1', '深圳', '2018-06-05')
('16175-客服专员（深圳）', '客户服务类', '1', '深圳', '2018-06-05')
('22989-系统测试工程师—数字广东公司（腾讯投资）', '技术类', '2', '广州', '2018-06-05')
('22989-系统测试工程师—数字广东公司（腾讯投资）', '技术类', '2', '广州', '2018-06-05')
('18402-明星向手游粉丝运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('18402-MMO手游商业化策划（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG16-腾讯音乐全民K歌UI视觉设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('FWZ-诉讼律师（深圳）', '职能类', '2', '深圳', '2018-06-05')
('SNG16-腾讯音乐交互设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('25668-腾讯云市场经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('SNG08-天天P图招聘社区内容运营岗位（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('OMG064-CRM产品经理（北京）', '产品/项目类', '1', '北京', '2018-06-05')
('S2-云投资公司财务总监（长春）', '职能类', '1', '长春', '2018-06-05')
('20503-室内定位高级研究员（上海）', '技术类', '1', '上海', '2018-06-05')
('SNG08-社交平台微视+FMiOS开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('SNG08-WEB前端工程师（上海）', '技术类', '1', '上海', '2018-06-05')
('18428-财付通清算业务测试工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('15573-天天酷跑资深游戏策划（上海）', '产品/项目类', '2', '上海', '2018-06-05')
('TEG09-存储运维工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告产品运营经理（生态平台业务）', '产品/项目类', '1', '上海', '2018-06-05')
('TEG13-C++后台开发工程师（深圳）', '技术类', '3', '深圳', '2018-06-05')
('OMG236-视频体验优化算法工程师 （深圳）', '技术类', '1', '深圳', '2018-06-05')
('19822-影视策划经理', '产品/项目类', '2', '北京', '2018-06-05')
('SNG10-视觉设计组长（深圳）', '设计类', '2', '深圳', '2018-06-05')
('TEG09-虚拟化研发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG10-资源规划师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('25925-NLP高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('16810-动画IP运营经理', '内容编辑类', '1', '北京', '2018-06-05')
('MIG03-应用平台交互设计师（深圳）', '设计类', '2', '深圳', '2018-06-05')
('17759-自研商品项目经理（北京）', '产品/项目类', '1', '北京', '2018-06-05')
('S2-大数据开发高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SNG07-高级质量管理工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('SNG16-腾讯音乐商业拓展（上海）', '市场类', '1', '上海', '2018-06-05')
('TEG-绩效管理经理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('IEG-HRBP（上海）', '职能类', '1', '上海', '2018-06-05')
('GH-运维工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SNG08-后台开发工程师(上海）', '技术类', '1', '上海', '2018-06-05')
('18402-明星向手游版本管理及本地化（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('18671-手游平台运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('20761-政策研究高级经理', '职能类', '2', '北京', '2018-06-05')
('OMG236-web前端开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('21309-在线教育ios开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('21309-在线教育JAVA后台开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('18435-风控后台开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SNG04-数据平台架构师', '技术类', '1', '上海', '2018-06-05')
('WXG06-211 微信支付餐饮行业运营经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('18428-金融应用高级运维工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('18435-高级反洗钱合规管理（深圳）', '技术类', '1', '深圳', '2018-06-05')
('MIG09-QQ浏览器社区高级推荐算法工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG07-CDC高级多媒体视觉设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('21309-在线教育高级web前端开发工程师（深圳）', '技术类', '8', '深圳', '2018-06-05')
('18671-新手游商业化运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('TEG04-校园产品web后台开发（深圳）', '技术类', '1', '深圳', '2018-06-05')
('TEG04-校园产品Web前端开发（深圳）', '技术类', '1', '深圳', '2018-06-05')
('SNG02-腾讯云智慧建筑行业运营组长（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('21530-腾讯音乐短视频内容运营负责人（北京）', '内容编辑类', '1', '北京', '2018-06-05')
('21530-腾讯音乐播放器会员高级产品经理（广州）', '产品/项目类', '1', '广州', '2018-06-05')
('OMG148-市场策略组副组长（北京）', '市场类', '1', '北京', '2018-06-05')
('SNG03-互动视频高级web前端开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('18435-反洗钱专家', '技术类', '1', '深圳', '2018-06-05')
('18435-财付通高级风险分析师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('20762-政府事务经理(北京)', '职能类', '1', '北京', '2018-06-05')
('15573-游戏交互设计师(上海)', '设计类', '2', '上海', '2018-06-05')
('OMG236-腾讯视频搜索后台研发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('MIG07-系统安全研究员（北京）', '技术类', '3', '北京', '2018-06-05')
('19823-动画电影美术设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('OMG236-腾讯视频媒资库后台开发高级工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('21309-在线教育C/C++后台开发工程师（深圳）', '技术类', '10', '深圳', '2018-06-05')
('TEG12-IDC运营服务管理经理（深圳）', '技术类', '1', '深圳', '2018-06-05')
('S2-高级风险管理和内部控制分析师（采购风控方向）', '职能类', '1', '深圳', '2018-06-05')
('OMG236-移动端研发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('OMG236-计算机视觉算法研发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('20764-高级政府事务经理(广告方向)(北京)', '职能类', '1', '北京', '2018-06-05')
('OMG236-iOS开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('OMG236-视频编解码研发专家（深圳）', '技术类', '1', '深圳', '2018-06-05')
('21769-泛娱乐发行合作经理（北京）', '市场类', '3', '北京', '2018-06-05')
('SNG01-QQ产品运营总监（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告高级算法工程师（微信广告 深圳）', '技术类', '2', '深圳', '2018-06-05')
('OMG236-腾讯视频产品运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('OMG236-腾讯视频ios测试工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
